"","T4.1","T4.10","T4.16","T4.17","T4.6","T4.8","T5.1","T5.10","T5.16","T5.17","T5.6","T5.8","T7.1","T7.10","T7.16","T7.17","T7.6","T7.8","gene","Uniprot","eval","Prot.ID","Rev","Prot.Name.Long","Prot.Name.Short","Taxa","Num","GO1","GO2","GO3","GO4","GO.IDs","KEGG","KEGG.Path"
"11",21,10,43,42,11,25,24,150,110,71,120,133,85,57,62,49,88,101,"g25991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",362,665,665,364,353,366,202,1023,748,513,788,588,873,1809,1967,470,920,1421,"g27090","Q9WU63",8.05e-41,"HEBP2_MOUSE","reviewed","Heme-binding protein 2 (Protein SOUL)","Hebp2 Soul","Mus musculus (Mouse)",205,"negative regulation of mitochondrial membrane potential [GO:0010917]; positive regulation of mitochondrial membrane permeability [GO:0035794]; positive regulation of necrotic cell death [GO:0010940]","cytoplasm [GO:0005737]; mitochondrion [GO:0005739]","cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; heme binding [GO:0020037]; negative regulation of mitochondrial membrane potential [GO:0010917]; positive regulation of mitochondrial membrane permeability [GO:0035794]; positive regulation of necrotic cell death [GO:0010940]","heme binding [GO:0020037]","GO:0005737; GO:0005739; GO:0010917; GO:0010940; GO:0020037; GO:0035794","","mmu:56016;"
"13",913,248,815,224,203,245,59,104,147,75,162,37,45,50,97,18,42,35,"g27092","Q9Y5Z4",4.46e-27,"HEBP2_HUMAN","reviewed","Heme-binding protein 2 (Placental protein 23) (PP23) (Protein SOUL)","HEBP2 C6orf34 SOUL","Homo sapiens (Human)",205,"negative regulation of mitochondrial membrane potential [GO:0010917]; neutrophil degranulation [GO:0043312]; positive regulation of mitochondrial membrane permeability [GO:0035794]; positive regulation of necrotic cell death [GO:0010940]","azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; mitochondrion [GO:0005739]","azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; mitochondrion [GO:0005739]; heme binding [GO:0020037]; negative regulation of mitochondrial membrane potential [GO:0010917]; neutrophil degranulation [GO:0043312]; positive regulation of mitochondrial membrane permeability [GO:0035794]; positive regulation of necrotic cell death [GO:0010940]","heme binding [GO:0020037]","GO:0005576; GO:0005737; GO:0005739; GO:0010917; GO:0010940; GO:0020037; GO:0035578; GO:0035794; GO:0043312; GO:0070062","","hsa:23593;"
"14",22,18,8,8,12,23,18,22,13,7,16,14,22,0,0,7,8,0,"g27244","P24044",1.4e-51,"CALM_PLAFA","reviewed","Calmodulin (CaM)","","Plasmodium falciparum",149,"calcium-mediated signaling [GO:0019722]","","calcium ion binding [GO:0005509]; calcium-mediated signaling [GO:0019722]","calcium ion binding [GO:0005509]","GO:0005509; GO:0019722","",""
"15",204,210,329,209,154,88,52,468,211,283,242,174,2005,504,2257,193,652,593,"g27639","P12394",7.37e-134,"CP17A_CHICK","reviewed","Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC 1.14.14.32) (17-alpha-hydroxyprogesterone aldolase) (CYPXVII) (Cytochrome P450 17A1) (Cytochrome P450-C17) (Cytochrome P450c17)","CYP17A1 CYP17","Gallus gallus (Chicken)",508,"hormone biosynthetic process [GO:0042446]; progesterone metabolic process [GO:0042448]; sex differentiation [GO:0007548]; steroid biosynthetic process [GO:0006694]; steroid metabolic process [GO:0008202]","membrane [GO:0016020]","membrane [GO:0016020]; 17-alpha-hydroxyprogesterone aldolase activity [GO:0047442]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; steroid 17-alpha-monooxygenase activity [GO:0004508]; hormone biosynthetic process [GO:0042446]; progesterone metabolic process [GO:0042448]; sex differentiation [GO:0007548]; steroid biosynthetic process [GO:0006694]; steroid metabolic process [GO:0008202]","17-alpha-hydroxyprogesterone aldolase activity [GO:0047442]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; steroid 17-alpha-monooxygenase activity [GO:0004508]","GO:0004508; GO:0005506; GO:0006694; GO:0007548; GO:0008202; GO:0016020; GO:0020037; GO:0042446; GO:0042448; GO:0047442","K00512;","gga:425056;"
"16",11,30,40,33,20,32,111,126,102,19,201,198,321,195,224,25,105,212,"g27780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1829,1589,4348,3307,1556,950,699,2809,3032,2206,1812,1219,530,419,1213,286,575,584,"g30027","Q6ZZY0",0,"CRY1_SYLBO","reviewed","Cryptochrome-1","CRY1","Sylvia borin (Garden warbler)",620,"circadian rhythm [GO:0007623]; negative regulation of gluconeogenesis [GO:0045721]; protein-chromophore linkage [GO:0018298]; response to light stimulus [GO:0009416]","cytosol [GO:0005829]; nucleus [GO:0005634]; photoreceptor disc membrane [GO:0097381]; photoreceptor outer segment membrane [GO:0042622]","cytosol [GO:0005829]; nucleus [GO:0005634]; photoreceptor disc membrane [GO:0097381]; photoreceptor outer segment membrane [GO:0042622]; nucleotide binding [GO:0000166]; photoreceptor activity [GO:0009881]; circadian rhythm [GO:0007623]; negative regulation of gluconeogenesis [GO:0045721]; protein-chromophore linkage [GO:0018298]; response to light stimulus [GO:0009416]","nucleotide binding [GO:0000166]; photoreceptor activity [GO:0009881]","GO:0000166; GO:0005634; GO:0005829; GO:0007623; GO:0009416; GO:0009881; GO:0018298; GO:0042622; GO:0045721; GO:0097381","",""
"18",1604,1184,2388,2491,1361,1776,419,1227,972,985,946,995,198,189,437,159,306,214,"g30029","Q49AN0",4.01e-117,"CRY2_HUMAN","reviewed","Cryptochrome-2","CRY2 KIAA0658","Homo sapiens (Human)",593,"blue light signaling pathway [GO:0009785]; circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; entrainment of circadian clock by photoperiod [GO:0043153]; glucose homeostasis [GO:0042593]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of glucocorticoid receptor signaling pathway [GO:2000323]; negative regulation of phosphoprotein phosphatase activity [GO:0032515]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; protein-chromophore linkage [GO:0018298]; regulation of circadian rhythm [GO:0042752]; regulation of sodium-dependent phosphate transport [GO:2000118]; response to activity [GO:0014823]; response to light stimulus [GO:0009416]","cytosol [GO:0005829]; extracellular region [GO:0005576]; nuclear speck [GO:0016607]; nucleus [GO:0005634]","cytosol [GO:0005829]; extracellular region [GO:0005576]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; blue light photoreceptor activity [GO:0009882]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; FAD binding [GO:0071949]; phosphatase binding [GO:0019902]; single-stranded DNA binding [GO:0003697]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; blue light signaling pathway [GO:0009785]; circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; entrainment of circadian clock by photoperiod [GO:0043153]; glucose homeostasis [GO:0042593]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of glucocorticoid receptor signaling pathway [GO:2000323]; negative regulation of phosphoprotein phosphatase activity [GO:0032515]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; protein-chromophore linkage [GO:0018298]; regulation of circadian rhythm [GO:0042752]; regulation of sodium-dependent phosphate transport [GO:2000118]; response to activity [GO:0014823]; response to light stimulus [GO:0009416]","blue light photoreceptor activity [GO:0009882]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; FAD binding [GO:0071949]; phosphatase binding [GO:0019902]; single-stranded DNA binding [GO:0003697]; transcription regulatory region sequence-specific DNA binding [GO:0000976]","GO:0000122; GO:0000976; GO:0003677; GO:0003684; GO:0003697; GO:0005576; GO:0005634; GO:0005829; GO:0007623; GO:0009416; GO:0009785; GO:0009882; GO:0014823; GO:0016607; GO:0018298; GO:0019902; GO:0032515; GO:0032922; GO:0042593; GO:0042752; GO:0042754; GO:0043153; GO:0045892; GO:0071949; GO:2000118; GO:2000323","K02295;","hsa:1408;"
"19",246,209,388,419,214,82,82,174,115,135,168,197,7,18,60,16,51,47,"g30030","Q32Q86",1.23e-65,"CRY1_RAT","reviewed","Cryptochrome-1","Cry1","Rattus norvegicus (Rat)",588,"circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; DNA damage induced protein phosphorylation [GO:0006975]; entrainment of circadian clock by photoperiod [GO:0043153]; gluconeogenesis [GO:0006094]; glucose homeostasis [GO:0042593]; lipid storage [GO:0019915]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of glucocorticoid receptor signaling pathway [GO:2000323]; negative regulation of glucocorticoid secretion [GO:2000850]; negative regulation of gluconeogenesis [GO:0045721]; negative regulation of G protein-coupled receptor signaling pathway [GO:0045744]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of protein ubiquitination [GO:0031398]; protein-chromophore linkage [GO:0018298]; regulation of circadian rhythm [GO:0042752]; regulation of DNA damage checkpoint [GO:2000001]; response to activity [GO:0014823]; response to glucagon [GO:0033762]; response to insulin [GO:0032868]; response to light stimulus [GO:0009416]","mitochondrion [GO:0005739]; nucleus [GO:0005634]","mitochondrion [GO:0005739]; nucleus [GO:0005634]; double-stranded DNA binding [GO:0003690]; E-box binding [GO:0070888]; histone deacetylase binding [GO:0042826]; kinase binding [GO:0019900]; nuclear hormone receptor binding [GO:0035257]; nucleotide binding [GO:0000166]; phosphatase binding [GO:0019902]; photoreceptor activity [GO:0009881]; protein kinase binding [GO:0019901]; transcription factor binding [GO:0008134]; circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; DNA damage induced protein phosphorylation [GO:0006975]; entrainment of circadian clock by photoperiod [GO:0043153]; gluconeogenesis [GO:0006094]; glucose homeostasis [GO:0042593]; lipid storage [GO:0019915]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of G protein-coupled receptor signaling pathway [GO:0045744]; negative regulation of glucocorticoid receptor signaling pathway [GO:2000323]; negative regulation of glucocorticoid secretion [GO:2000850]; negative regulation of gluconeogenesis [GO:0045721]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of protein ubiquitination [GO:0031398]; protein-chromophore linkage [GO:0018298]; regulation of circadian rhythm [GO:0042752]; regulation of DNA damage checkpoint [GO:2000001]; response to activity [GO:0014823]; response to glucagon [GO:0033762]; response to insulin [GO:0032868]; response to light stimulus [GO:0009416]","double-stranded DNA binding [GO:0003690]; E-box binding [GO:0070888]; histone deacetylase binding [GO:0042826]; kinase binding [GO:0019900]; nuclear hormone receptor binding [GO:0035257]; nucleotide binding [GO:0000166]; phosphatase binding [GO:0019902]; photoreceptor activity [GO:0009881]; protein kinase binding [GO:0019901]; transcription factor binding [GO:0008134]","GO:0000122; GO:0000166; GO:0003690; GO:0005634; GO:0005739; GO:0006094; GO:0006975; GO:0007623; GO:0008134; GO:0009416; GO:0009881; GO:0014823; GO:0018298; GO:0019900; GO:0019901; GO:0019902; GO:0019915; GO:0031397; GO:0031398; GO:0032868; GO:0032922; GO:0033762; GO:0035257; GO:0042593; GO:0042752; GO:0042754; GO:0042826; GO:0043153; GO:0045721; GO:0045744; GO:0045892; GO:0070888; GO:2000001; GO:2000323; GO:2000850","K02295;","rno:299691;"
"20",16,53,25,29,37,22,18,98,28,70,66,71,282,281,217,69,132,200,"g30156","Q29RZ5",7.36e-61,"TNG2_BOVIN","reviewed","Transport and Golgi organization protein 2 homolog","TANGO2","Bos taurus (Bovine)",276,"Golgi organization [GO:0007030]; protein secretion [GO:0009306]","Golgi apparatus [GO:0005794]","Golgi apparatus [GO:0005794]; Golgi organization [GO:0007030]; protein secretion [GO:0009306]","","GO:0005794; GO:0007030; GO:0009306","","bta:518209;"
"21",1289,1177,1883,1549,1122,1066,873,1588,1693,1159,1467,1242,1583,1430,2034,862,1819,1674,"g30299","Q2YDQ5",1.27e-77,"FBXL5_DANRE","reviewed","F-box/LRR-repeat protein 5 (F-box and leucine-rich repeat protein 5)","fbxl5","Danio rerio (Zebrafish) (Brachydanio rerio)",679,"iron ion homeostasis [GO:0055072]; protein ubiquitination [GO:0016567]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; ubiquitin-dependent protein catabolic process [GO:0006511]","perinuclear region of cytoplasm [GO:0048471]; SCF ubiquitin ligase complex [GO:0019005]","perinuclear region of cytoplasm [GO:0048471]; SCF ubiquitin ligase complex [GO:0019005]; iron ion binding [GO:0005506]; iron ion homeostasis [GO:0055072]; protein ubiquitination [GO:0016567]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; ubiquitin-dependent protein catabolic process [GO:0006511]","iron ion binding [GO:0005506]","GO:0005506; GO:0006511; GO:0016567; GO:0019005; GO:0031146; GO:0048471; GO:0055072","",""
"22",29,20,28,44,27,26,35,81,44,52,69,90,225,74,91,29,95,95,"g30473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",145,98,217,196,131,104,81,192,136,154,178,164,76,74,151,30,76,68,"g30477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",74,64,100,120,68,63,40,93,107,45,62,56,36,51,81,31,48,60,"g31031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",595,476,1299,820,515,563,484,607,875,555,860,1012,223,247,383,181,354,321,"g31885","P08003",0,"PDIA4_MOUSE","reviewed","Protein disulfide-isomerase A4 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 72) (ER protein 72) (ERp-72) (ERp72)","Pdia4 Cai Erp72","Mus musculus (Mouse)",638,"cell redox homeostasis [GO:0045454]; chaperone-mediated protein folding [GO:0061077]; positive regulation of protein folding [GO:1903334]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]","cell [GO:0005623]; cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; extracellular space [GO:0005615]; melanosome [GO:0042470]; smooth endoplasmic reticulum [GO:0005790]","cell [GO:0005623]; cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; extracellular space [GO:0005615]; melanosome [GO:0042470]; smooth endoplasmic reticulum [GO:0005790]; peptide disulfide oxidoreductase activity [GO:0015037]; protein disulfide isomerase activity [GO:0003756]; cell redox homeostasis [GO:0045454]; chaperone-mediated protein folding [GO:0061077]; positive regulation of protein folding [GO:1903334]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]","peptide disulfide oxidoreductase activity [GO:0015037]; protein disulfide isomerase activity [GO:0003756]","GO:0003756; GO:0005615; GO:0005623; GO:0005783; GO:0005788; GO:0005790; GO:0006457; GO:0009986; GO:0015037; GO:0034663; GO:0034976; GO:0042470; GO:0045454; GO:0061077; GO:1903334","K09582;","mmu:12304;"
"26",98,124,108,124,108,96,95,87,78,97,78,95,42,34,38,11,44,22,"g32116","P41224",1.03e-11,"TEF_RAT","reviewed","Thyrotroph embryonic factor","Tef","Rattus norvegicus (Rat)",301,"positive regulation of transcription by RNA polymerase II [GO:0045944]; rhythmic process [GO:0048511]","nucleus [GO:0005634]","nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; double-stranded DNA binding [GO:0003690]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; positive regulation of transcription by RNA polymerase II [GO:0045944]; rhythmic process [GO:0048511]","DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; double-stranded DNA binding [GO:0003690]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]","GO:0000977; GO:0000978; GO:0001228; GO:0003690; GO:0005634; GO:0042802; GO:0043565; GO:0044877; GO:0045944; GO:0048511","K09058;","rno:29362;"
